Target,Test,Time
"gRPCTests.gRPCTests","testgRPCServiceForHelloMessageToMeasureTime","0.312"
"gRPCTests.gRPCTests","testgRPCServiceForImageDownloadToMeasureTime","0.379"
"gRPCTests.gRPCTests","testgRPCServiceForHelloMessageToMeasureTime","0.329"
"gRPCTests.gRPCTests","testgRPCServiceForImageDownloadToMeasureTime","0.383"
"gRPCTests.gRPCTests","testgRPCServiceForHelloMessageToMeasureTime","0.315"
"gRPCTests.gRPCTests","testgRPCServiceForImageDownloadToMeasureTime","0.388"
"gRPCTests.gRPCTests","testgRPCServiceForHelloMessageToMeasureTime","0.314"
"gRPCTests.gRPCTests","testgRPCServiceForImageDownloadToMeasureTime","0.390"
"gRPCTests.gRPCTests","testgRPCServiceForHelloMessageToMeasureTime","0.323"
"gRPCTests.gRPCTests","testgRPCServiceForImageDownloadToMeasureTime","0.389"
